manufacturer,type,size,year,condition,fuel,odometer,transmission,drive,cylinders,paint_color,price
chevrolet,SUV,mid-size,2006,good,gas,174841,automatic,4wd,6 cylinders,blue,4900
jaguar,sedan,full-size,2007,good,gas,181200,automatic,rwd,8 cylinders,silver,4900
toyota,pickup,mid-size,2000,good,gas,220544,automatic,4wd,8 cylinders,white,4900
pontiac,SUV,mid-size,2007,excellent,gas,124616,automatic,4wd,6 cylinders,white,4950
saturn,SUV,mid-size,2006,excellent,gas,132000,automatic,4wd,6 cylinders,red,4950
dodge,mini-van,mid-size,2011,like new,gas,138539,automatic,fwd,6 cylinders,white,4950
ford,truck,full-size,2003,good,gas,197000,automatic,4wd,6 cylinders,black,4950
honda,sedan,mid-size,2007,good,gas,211000,automatic,fwd,4 cylinders,blue,4950
chevrolet,truck,full-size,2003,good,gas,221179,automatic,4wd,8 cylinders,red,4950
toyota,sedan,mid-size,2008,good,gas,76000,automatic,fwd,4 cylinders,silver,4975
nissan,sedan,compact,2014,excellent,gas,91918,automatic,fwd,4 cylinders,grey,4990
chevrolet,mini-van,mid-size,2002,like new,gas,67000,automatic,fwd,6 cylinders,brown,4995
buick,sedan,full-size,2008,good,gas,107093,automatic,fwd,6 cylinders,silver,4995
mercury,sedan,full-size,2005,good,gas,130037,automatic,rwd,8 cylinders,grey,4995
audi,hatchback,full-size,2008,excellent,gas,132919,manual,fwd,4 cylinders,silver,4995
toyota,sedan,mid-size,2003,excellent,gas,134096,automatic,fwd,4 cylinders,white,4995
cadillac,sedan,full-size,2004,like new,gas,137000,automatic,rwd,6 cylinders,custom,4995
honda,sedan,compact,2005,like new,gas,137085,automatic,fwd,4 cylinders,silver,4995
buick,SUV,mid-size,2007,excellent,gas,137105,automatic,fwd,6 cylinders,red,4995
nissan,coupe,mid-size,2008,excellent,gas,138658,automatic,fwd,4 cylinders,white,4995
acura,SUV,mid-size,2003,good,gas,143703,automatic,4wd,6 cylinders,brown,4995
dodge,SUV,mid-size,2009,good,gas,145000,automatic,fwd,6 cylinders,black,4995
toyota,sedan,mid-size,2007,good,gas,167000,automatic,fwd,4 cylinders,blue,4995
toyota,sedan,mid-size,2004,like new,gas,168000,automatic,fwd,6 cylinders,purple,4995
ram,truck,full-size,2005,good,gas,175774,automatic,rwd,8 cylinders,white,4995
gmc,SUV,full-size,2001,good,gas,220000,automatic,4wd,8 cylinders,red,4995
hyundai,sedan,mid-size,2008,good,gas,120955,automatic,fwd,6 cylinders,blue,4999
ford,sedan,compact,2010,excellent,gas,124662,automatic,fwd,4 cylinders,red,4999
nissan,coupe,compact,2008,good,gas,76000,automatic,fwd,4 cylinders,blue,5000
chevrolet,coupe,sub-compact,2009,good,gas,97000,automatic,fwd,4 cylinders,red,5000
bmw,coupe,compact,2004,good,gas,118500,automatic,rwd,6 cylinders,grey,5000
jaguar,sedan,mid-size,2005,excellent,gas,127300,automatic,rwd,8 cylinders,black,5000
volkswagen,sedan,compact,2012,good,gas,128300,manual,fwd,4 cylinders,red,5000
honda,sedan,full-size,2004,excellent,gas,132604,automatic,fwd,6 cylinders,blue,5000
cadillac,sedan,compact,2009,good,gas,138000,automatic,4wd,6 cylinders,silver,5000
honda,mini-van,mid-size,2006,good,gas,143000,automatic,fwd,4 cylinders,grey,5000
audi,sedan,mid-size,2007,excellent,gas,144000,automatic,4wd,4 cylinders,blue,5000
toyota,hatchback,mid-size,2008,good,gas,155000,automatic,fwd,4 cylinders,white,5000
ford,sedan,full-size,2011,excellent,gas,160000,automatic,rwd,8 cylinders,silver,5000
honda,coupe,compact,2012,like new,gas,165000,automatic,fwd,4 cylinders,grey,5000
bmw,SUV,mid-size,2007,excellent,gas,181000,automatic,4wd,6 cylinders,silver,5000
ford,SUV,mid-size,2007,excellent,gas,186139,automatic,4wd,6 cylinders,white,5000
